venta_id,ticket_id,fecha,cliente_id,tienda_id,producto_id,cantidad,precio_unitario,descuento,total_linea
95,23,2026-04-15,39,5,SKU0026,3,6400,0.0,19200.0
96,23,2026-04-15,39,5,SKU0010,3,10000,0.0,30000.0
97,23,2026-04-15,39,5,SKU0028,4,3350,0.15,11390.0
98,24,2025-07-22,36,1,SKU0029,4,6700,0.0,26800.0
99,24,2025-07-22,36,1,SKU0027,2,9300,0.15,15810.0
100,25,2024-03-02,47,4,SKU0027,2,8600,0.0,17200.0
101,25,2024-03-02,47,4,SKU0009,4,3400,0.15,11560.0
102,25,2024-03-02,47,4,SKU0038,5,8300,0.0,41500.0
103,25,2024-03-02,47,4,SKU0039,1,13100,0.05,12445.0
104,25,2024-03-02,47,4,SKU0006,4,2300,0.0,9200.0
105,25,2024-03-02,47,4,SKU0010,1,8600,0.0,8600.0
106,26,2026-07-31,41,3,SKU0012,2,2450,0.0,4900.0
107,26,2026-07-31,41,3,SKU0036,2,23100,0.15,39270.0
108,26,2026-07-31,41,3,SKU0030,4,4050,0.0,16200.0
109,26,2026-07-31,41,3,SKU0037,5,17750,0.0,88750.0
110,27,2026-03-26,3,3,SKU0020,1,2650,0.15,2252.5
111,27,2026-03-26,3,3,SKU0032,1,3600,0.0,3600.0
112,27,2026-03-26,3,3,SKU0036,3,23100,0.0,69300.0
113,27,2026-03-26,3,3,SKU0030,4,4050,0.0,16200.0
114,27,2026-03-26,3,3,SKU0015,3,5800,0.0,17400.0
115,28,2026-07-08,12,4,SKU0042,1,11600,0.05,11020.0
116,28,2026-07-08,12,4,SKU0016,3,4300,0.05,12255.0
117,28,2026-07-08,12,4,SKU0002,4,5000,0.05,19000.0
118,28,2026-07-08,12,4,SKU0008,4,4500,0.15,15300.0
119,28,2026-07-08,12,4,SKU0018,3,4650,0.1,12555.0
120,28,2026-07-08,12,4,SKU0032,4,3600,0.1,12960.0
121,29,2026-06-05,8,3,SKU0037,1,17750,0.0,17750.0
122,29,2026-06-05,8,3,SKU0002,3,5000,0.0,15000.0
123,29,2026-06-05,8,3,SKU0017,2,15100,0.0,30200.0
124,29,2026-06-05,8,3,SKU0011,2,5000,0.0,10000.0
125,29,2026-06-05,8,3,SKU0038,3,9650,0.0,28950.0
126,30,2026-04-05,27,3,SKU0019,3,3000,0.05,8550.0
127,31,2024-07-08,41,1,SKU0013,2,4500,0.05,8550.0
128,31,2024-07-08,41,1,SKU0041,3,9000,0.15,22950.0
129,31,2024-07-08,41,1,SKU0012,3,2100,0.15,5355.0
130,31,2024-07-08,41,1,SKU0007,3,5000,0.0,15000.0
131,31,2024-07-08,41,1,SKU0039,3,13100,0.0,39300.0
132,32,2025-05-25,35,5,SKU0010,5,9300,0.0,46500.0
133,32,2025-05-25,35,5,SKU0001,3,4100,0.15,10455.0
134,32,2025-05-25,35,5,SKU0009,4,3650,0.0,14600.0
135,33,2024-08-29,22,2,SKU0014,2,5700,0.05,10830.0
136,34,2025-03-08,15,2,SKU0040,4,5850,0.0,23400.0
137,34,2025-03-08,15,2,SKU0034,1,3250,0.0,3250.0
138,34,2025-03-08,15,2,SKU0035,2,16100,0.0,32200.0
139,34,2025-03-08,15,2,SKU0036,4,21500,0.0,86000.0
140,34,2025-03-08,15,2,SKU0008,3,4200,0.1,11340.0
141,35,2024-03-11,24,2,SKU0039,3,13100,0.0,39300.0
142,35,2024-03-11,24,2,SKU0034,1,3000,0.0,3000.0
143,35,2024-03-11,24,2,SKU0022,2,2600,0.15,4420.0
144,35,2024-03-11,24,2,SKU0012,2,2100,0.1,3780.0
145,36,2025-02-13,15,3,SKU0014,1,6150,0.0,6150.0
146,36,2025-02-13,15,3,SKU0009,1,3650,0.0,3650.0
147,37,2026-07-20,2,4,SKU0003,5,2550,0.0,12750.0
148,37,2026-07-20,2,4,SKU0013,4,5200,0.0,20800.0
149,37,2026-07-20,2,4,SKU0007,3,5800,0.0,17400.0
150,37,2026-07-20,2,4,SKU0033,1,3600,0.0,3600.0
151,38,2024-10-25,43,1,SKU0008,5,3900,0.0,19500.0
152,39,2026-02-10,38,2,SKU0023,1,14950,0.0,14950.0
153,39,2026-02-10,38,2,SKU0002,3,5000,0.05,14250.0
154,40,2025-04-27,23,3,SKU0033,2,3350,0.05,6365.0
155,40,2025-04-27,23,3,SKU0040,5,5850,0.0,29250.0
156,41,2025-03-28,7,5,SKU0034,2,3250,0.1,5850.0
157,42,2026-06-29,13,3,SKU0035,1,17300,0.0,17300.0
158,42,2026-06-29,13,3,SKU0001,5,4400,0.15,18700.0
159,43,2026-07-28,46,4,SKU0038,1,9650,0.0,9650.0
160,43,2026-07-28,46,4,SKU0012,3,2450,0.0,7350.0
161,43,2026-07-28,46,4,SKU0029,4,7200,0.0,28800.0
162,44,2025-07-27,33,2,SKU0008,2,4200,0.0,8400.0
163,44,2025-07-27,33,2,SKU0021,3,4100,0.1,11070.0
164,44,2025-07-27,33,2,SKU0030,3,3800,0.05,10830.0
165,44,2025-07-27,33,2,SKU0034,1,3250,0.0,3250.0
166,45,2025-12-18,21,4,SKU0025,3,7450,0.0,22350.0
167,46,2024-06-25,39,3,SKU0029,2,6200,0.15,10540.0
168,46,2024-06-25,39,3,SKU0015,1,5000,0.15,4250.0
169,46,2024-06-25,39,3,SKU0036,4,19900,0.1,71640.0
170,46,2024-06-25,39,3,SKU0027,3,8600,0.0,25800.0
171,46,2024-06-25,39,3,SKU0019,1,2600,0.1,2340.0
172,46,2024-06-25,39,3,SKU0028,4,2900,0.1,10440.0
173,47,2024-11-27,7,4,SKU0034,4,3000,0.0,12000.0
174,47,2024-11-27,7,4,SKU0006,5,2300,0.0,11500.0
175,47,2024-11-27,7,4,SKU0008,2,3900,0.0,7800.0
176,47,2024-11-27,7,4,SKU0010,3,8600,0.0,25800.0
177,48,2026-07-07,22,2,SKU0026,3,6400,0.15,16320.0
178,48,2026-07-07,22,2,SKU0008,5,4500,0.05,21375.0
179,48,2026-07-07,22,2,SKU0015,3,5800,0.15,14790.0
180,48,2026-07-07,22,2,SKU0028,4,3350,0.0,13400.0
181,48,2026-07-07,22,2,SKU0032,4,3600,0.1,12960.0
182,49,2025-08-18,39,4,SKU0033,1,3350,0.0,3350.0
183,49,2025-08-18,39,4,SKU0018,3,4300,0.0,12900.0
184,49,2025-08-18,39,4,SKU0010,4,9300,0.0,37200.0
185,49,2025-08-18,39,4,SKU0030,2,3800,0.0,7600.0
186,50,2025-07-15,7,1,SKU0032,1,3350,0.0,3350.0
187,51,2026-01-09,25,5,SKU0021,4,4400,0.15,14960.0
188,51,2026-01-09,25,5,SKU0010,4,10000,0.0,40000.0
189,51,2026-01-09,25,5,SKU0020,3,2650,0.1,7155.0
190,51,2026-01-09,25,5,SKU0007,4,5800,0.0,23200.0
191,51,2026-01-09,25,5,SKU0005,5,9050,0.0,45250.0
192,51,2026-01-09,25,5,SKU0034,5,3500,0.0,17500.0
193,52,2024-03-10,35,5,SKU0003,4,2200,0.0,8800.0
194,53,2025-08-23,25,4,SKU0025,1,7450,0.0,7450.0
195,53,2025-08-23,25,4,SKU0029,2,6700,0.05,12730.0
196,53,2025-08-23,25,4,SKU0030,3,3800,0.1,10260.0
197,54,2025-06-10,11,4,SKU0009,1,3650,0.05,3467.5
198,54,2025-06-10,11,4,SKU0020,4,2500,0.1,9000.0
199,54,2025-06-10,11,4,SKU0025,5,7450,0.1,33525.0
200,54,2025-06-10,11,4,SKU0032,5,3350,0.05,15912.5
201,55,2026-04-08,31,4,SKU0011,4,5000,0.05,19000.0
202,55,2026-04-08,31,4,SKU0033,4,3600,0.05,13680.0
203,55,2026-04-08,31,4,SKU0004,3,10450,0.15,26647.5
204,55,2026-04-08,31,4,SKU0026,3,6400,0.0,19200.0
205,55,2026-04-08,31,4,SKU0017,1,15100,0.0,15100.0
206,56,2024-06-28,38,1,SKU0024,5,2300,0.0,11500.0
207,56,2024-06-28,38,1,SKU0023,3,12900,0.0,38700.0
208,57,2026-07-01,7,4,SKU0023,2,14950,0.0,29900.0
209,57,2026-07-01,7,4,SKU0027,2,10000,0.1,18000.0
210,57,2026-07-01,7,4,SKU0004,3,10450,0.05,29782.5
211,58,2024-04-05,6,1,SKU0008,1,3900,0.05,3705.0
212,58,2024-04-05,6,1,SKU0022,3,2600,0.0,7800.0
213,58,2024-04-05,6,1,SKU0011,4,4300,0.1,15480.0
214,59,2024-07-29,28,5,SKU0027,1,8600,0.0,8600.0
215,59,2024-07-29,28,5,SKU0018,4,4000,0.05,15200.0
216,59,2024-07-29,28,5,SKU0002,4,4300,0.0,17200.0
217,59,2024-07-29,28,5,SKU0031,5,3200,0.0,16000.0
218,59,2024-07-29,28,5,SKU0038,4,8300,0.0,33200.0
219,60,2025-09-02,45,2,SKU0032,2,3350,0.05,6365.0
220,60,2025-09-02,45,2,SKU0033,3,3350,0.0,10050.0
221,60,2025-09-02,45,2,SKU0022,4,2800,0.0,11200.0
222,61,2025-11-14,32,1,SKU0014,5,6150,0.0,30750.0
223,61,2025-11-14,32,1,SKU0019,2,2800,0.05,5320.0
224,61,2025-11-14,32,1,SKU0017,1,14050,0.1,12645.0
225,61,2025-11-14,32,1,SKU0004,5,9700,0.0,48500.0
226,61,2025-11-14,32,1,SKU0020,5,2500,0.0,12500.0
227,62,2024-09-23,18,1,SKU0034,1,3000,0.1,2700.0
228,62,2024-09-23,18,1,SKU0031,3,3200,0.05,9120.0
229,62,2024-09-23,18,1,SKU0028,3,2900,0.0,8700.0
230,62,2024-09-23,18,1,SKU0014,5,5700,0.0,28500.0
231,62,2024-09-23,18,1,SKU0023,2,12900,0.0,25800.0
232,63,2024-05-19,26,3,SKU0033,5,3100,0.15,13175.0
233,63,2024-05-19,26,3,SKU0030,2,3500,0.05,6650.0
234,63,2024-05-19,26,3,SKU0036,4,19900,0.0,79600.0
235,63,2024-05-19,26,3,SKU0012,4,2100,0.0,8400.0
236,63,2024-05-19,26,3,SKU0002,5,4300,0.15,18275.0
237,64,2026-05-08,40,4,SKU0041,4,10450,0.0,41800.0
238,64,2026-05-08,40,4,SKU0004,2,10450,0.0,20900.0
239,64,2026-05-08,40,4,SKU0034,3,3500,0.15,8925.0
240,64,2026-05-08,40,4,SKU0013,4,5200,0.0,20800.0
241,64,2026-05-08,40,4,SKU0024,3,2650,0.15,6757.5
242,65,2024-10-05,5,2,SKU0018,3,4000,0.1,10800.0
243,65,2024-10-05,5,2,SKU0019,5,2600,0.0,13000.0
244,65,2024-10-05,5,2,SKU0042,4,10000,0.0,40000.0
245,65,2024-10-05,5,2,SKU0011,1,4300,0.0,4300.0
246,66,2025-09-01,13,1,SKU0020,4,2500,0.05,9500.0
247,66,2025-09-01,13,1,SKU0030,4,3800,0.0,15200.0
248,67,2025-09-25,42,1,SKU0011,2,4650,0.0,9300.0
249,67,2025-09-25,42,1,SKU0018,3,4300,0.15,10965.0
250,68,2025-03-25,18,5,SKU0042,4,10800,0.15,36720.0
251,68,2025-03-25,18,5,SKU0003,1,2400,0.0,2400.0
252,69,2025-08-22,6,3,SKU0020,4,2500,0.15,8500.0
253,69,2025-08-22,6,3,SKU0005,2,8400,0.0,16800.0
254,69,2025-08-22,6,3,SKU0027,1,9300,0.05,8835.0
255,69,2025-08-22,6,3,SKU0024,5,2500,0.0,12500.0
256,69,2025-08-22,6,3,SKU0006,5,2500,0.1,11250.0
257,70,2025-06-27,38,5,SKU0032,5,3350,0.0,16750.0
258,70,2025-06-27,38,5,SKU0006,3,2500,0.0,7500.0
259,70,2025-06-27,38,5,SKU0016,5,4000,0.1,18000.0
260,71,2026-06-11,25,2,SKU0014,2,6600,0.0,13200.0
261,71,2026-06-11,25,2,SKU0010,4,10000,0.0,40000.0
262,71,2026-06-11,25,2,SKU0007,3,5800,0.15,14790.0
263,71,2026-06-11,25,2,SKU0012,5,2450,0.0,12250.0
264,72,2024-08-19,32,5,SKU0008,4,3900,0.0,15600.0
265,72,2024-08-19,32,5,SKU0021,2,3800,0.0,7600.0
266,72,2024-08-19,32,5,SKU0035,2,14900,0.0,29800.0
267,73,2025-12-16,31,3,SKU0002,1,4650,0.15,3952.5
268,73,2025-12-16,31,3,SKU0042,1,10800,0.1,9720.0
269,73,2025-12-16,31,3,SKU0039,2,14150,0.0,28300.0
270,74,2024-09-27,36,4,SKU0041,5,9000,0.15,38250.0
271,74,2024-09-27,36,4,SKU0024,2,2300,0.15,3910.0
272,74,2024-09-27,36,4,SKU0008,4,3900,0.0,15600.0
273,75,2025-03-03,1,4,SKU0020,3,2500,0.0,7500.0
274,75,2025-03-03,1,4,SKU0006,2,2500,0.0,5000.0
275,75,2025-03-03,1,4,SKU0016,3,4000,0.15,10200.0
276,76,2025-11-11,50,4,SKU0018,1,4300,0.15,3655.0
277,77,2024-11-30,50,4,SKU0027,2,8600,0.1,15480.0
278,77,2024-11-30,50,4,SKU0022,3,2600,0.05,7410.0
279,77,2024-11-30,50,4,SKU0028,1,2900,0.0,2900.0
280,77,2024-11-30,50,4,SKU0007,4,5000,0.05,19000.0
281,78,2024-12-15,47,5,SKU0021,2,3800,0.0,7600.0
282,78,2024-12-15,47,5,SKU0030,4,3500,0.0,14000.0
283,78,2024-12-15,47,5,SKU0002,3,4300,0.0,12900.0
284,78,2024-12-15,47,5,SKU0004,5,9000,0.0,45000.0
285,78,2024-12-15,47,5,SKU0012,1,2100,0.0,2100.0
286,78,2024-12-15,47,5,SKU0029,2,6200,0.05,11780.0
287,79,2026-01-13,46,2,SKU0027,3,10000,0.0,30000.0
288,79,2026-01-13,46,2,SKU0021,5,4400,0.15,18700.0
289,79,2026-01-13,46,2,SKU0029,3,7200,0.15,18360.0
290,79,2026-01-13,46,2,SKU0031,3,3700,0.0,11100.0
291,79,2026-01-13,46,2,SKU0009,1,3950,0.0,3950.0
292,80,2024-03-27,24,2,SKU0025,1,6900,0.05,6555.0
293,80,2024-03-27,24,2,SKU0037,5,15300,0.1,68850.0
294,80,2024-03-27,24,2,SKU0015,2,5000,0.0,10000.0
295,80,2024-03-27,24,2,SKU0002,4,4300,0.0,17200.0
296,81,2025-05-01,17,2,SKU0026,5,5950,0.0,29750.0
297,82,2026-07-30,39,3,SKU0006,2,2650,0.05,5035.0
298,82,2026-07-30,39,3,SKU0024,1,2650,0.0,2650.0
299,83,2026-07-28,46,5,SKU0030,2,4050,0.0,8100.0
300,83,2026-07-28,46,5,SKU0032,3,3600,0.0,10800.0
301,83,2026-07-28,46,5,SKU0008,4,4500,0.0,18000.0
302,83,2026-07-28,46,5,SKU0015,2,5800,0.0,11600.0
303,84,2024-03-28,14,5,SKU0019,4,2600,0.0,10400.0
304,84,2024-03-28,14,5,SKU0013,4,4500,0.15,15300.0
305,85,2024-08-29,10,1,SKU0017,4,13000,0.0,52000.0
306,85,2024-08-29,10,1,SKU0016,3,3700,0.05,10545.0
307,85,2024-08-29,10,1,SKU0040,4,5400,0.0,21600.0
308,86,2024-10-25,1,4,SKU0021,2,3800,0.1,6840.0
309,86,2024-10-25,1,4,SKU0026,4,5500,0.1,19800.0
310,87,2026-06-10,28,5,SKU0005,1,9050,0.0,9050.0
311,87,2026-06-10,28,5,SKU0007,3,5800,0.0,17400.0
312,87,2026-06-10,28,5,SKU0036,4,23100,0.0,92400.0
313,88,2026-05-01,39,5,SKU0003,4,2550,0.1,9180.0
314,88,2026-05-01,39,5,SKU0001,3,4400,0.0,13200.0
315,88,2026-05-01,39,5,SKU0017,5,15100,0.0,75500.0
316,88,2026-05-01,39,5,SKU0033,5,3600,0.0,18000.0
317,88,2026-05-01,39,5,SKU0025,3,8000,0.0,24000.0
318,88,2026-05-01,39,5,SKU0020,5,2650,0.0,13250.0
319,89,2026-04-29,22,4,SKU0006,5,2650,0.0,13250.0
320,89,2026-04-29,22,4,SKU0021,2,4400,0.0,8800.0
321,90,2025-02-03,8,3,SKU0009,4,3650,0.15,12410.0
322,91,2024-06-29,18,3,SKU0019,3,2600,0.0,7800.0
323,91,2024-06-29,18,3,SKU0017,2,13000,0.0,26000.0
324,91,2024-06-29,18,3,SKU0040,4,5400,0.15,18360.0
325,91,2024-06-29,18,3,SKU0034,2,3000,0.05,5700.0
326,92,2026-03-24,43,4,SKU0013,2,5200,0.0,10400.0
327,93,2025-12-07,15,2,SKU0031,3,3450,0.0,10350.0
328,94,2025-09-18,46,4,SKU0008,3,4200,0.1,11340.0
329,94,2025-09-18,46,4,SKU0032,5,3350,0.0,16750.0
330,94,2025-09-18,46,4,SKU0003,4,2400,0.0,9600.0
331,94,2025-09-18,46,4,SKU0029,1,6700,0.15,5695.0
332,95,2026-07-22,47,2,SKU0023,1,14950,0.0,14950.0
333,96,2025-10-26,19,2,SKU0033,5,3350,0.1,15075.0
334,96,2025-10-26,19,2,SKU0018,5,4300,0.0,21500.0
335,97,2024-01-10,38,1,SKU0037,4,15300,0.1,55080.0
336,97,2024-01-10,38,1,SKU0012,1,2100,0.0,2100.0
337,97,2024-01-10,38,1,SKU0027,1,8600,0.0,8600.0
338,97,2024-01-10,38,1,SKU0005,1,7800,0.0,7800.0
339,97,2024-01-10,38,1,SKU0016,3,3700,0.05,10545.0
340,98,2026-03-10,7,3,SKU0002,4,5000,0.15,17000.0
341,98,2026-03-10,7,3,SKU0006,4,2650,0.0,10600.0
342,99,2024-11-30,41,3,SKU0001,4,3800,0.0,15200.0
343,99,2024-11-30,41,3,SKU0022,5,2600,0.0,13000.0
344,99,2024-11-30,41,3,SKU0003,2,2200,0.15,3740.0
345,99,2024-11-30,41,3,SKU0042,1,10000,0.15,8500.0
346,99,2024-11-30,41,3,SKU0040,3,5400,0.0,16200.0
347,100,2025-11-04,4,1,SKU0039,2,14150,0.0,28300.0
348,100,2025-11-04,4,1,SKU0025,4,7450,0.0,29800.0
349,100,2025-11-04,4,1,SKU0006,1,2500,0.15,2125.0
350,100,2025-11-04,4,1,SKU0026,2,5950,0.0,11900.0
351,100,2025-11-04,4,1,SKU0017,4,14050,0.15,47770.0
352,101,2026-06-14,26,3,SKU0042,3,11600,0.1,31320.0
353,101,2026-06-14,26,3,SKU0010,5,10000,0.0,50000.0
354,101,2026-06-14,26,3,SKU0008,3,4500,0.1,12150.0
355,101,2026-06-14,26,3,SKU0020,1,2650,0.15,2252.5
356,101,2026-06-14,26,3,SKU0032,3,3600,0.05,10260.0
357,101,2026-06-14,26,3,SKU0028,2,3350,0.0,6700.0
358,102,2024-06-03,29,4,SKU0018,1,4000,0.15,3400.0
359,102,2024-06-03,29,4,SKU0037,4,15300,0.15,52020.0
360,102,2024-06-03,29,4,SKU0039,3,13100,0.05,37335.0
361,102,2024-06-03,29,4,SKU0028,2,2900,0.0,5800.0
362,103,2024-05-14,41,4,SKU0003,5,2200,0.0,11000.0
363,104,2024-05-05,30,2,SKU0010,4,8600,0.0,34400.0
364,104,2024-05-05,30,2,SKU0032,1,3100,0.15,2635.0
365,104,2024-05-05,30,2,SKU0034,4,3000,0.0,12000.0
366,104,2024-05-05,30,2,SKU0040,2,5400,0.0,10800.0
367,104,2024-05-05,30,2,SKU0006,3,2300,0.15,5865.0
368,104,2024-05-05,30,2,SKU0019,2,2600,0.05,4940.0
369,105,2025-07-25,28,3,SKU0004,1,9700,0.05,9215.0
370,105,2025-07-25,28,3,SKU0036,4,21500,0.0,86000.0
371,105,2025-07-25,28,3,SKU0005,1,8400,0.0,8400.0
372,105,2025-07-25,28,3,SKU0003,5,2400,0.15,10200.0
373,105,2025-07-25,28,3,SKU0033,3,3350,0.0,10050.0
374,106,2024-11-02,17,5,SKU0033,1,3100,0.0,3100.0
375,107,2025-09-11,48,4,SKU0012,1,2250,0.0,2250.0
376,107,2025-09-11,48,4,SKU0026,4,5950,0.1,21420.0
377,108,2025-12-17,20,3,SKU0030,2,3800,0.0,7600.0
378,108,2025-12-17,20,3,SKU0029,2,6700,0.0,13400.0
379,108,2025-12-17,20,3,SKU0040,5,5850,0.0,29250.0
380,108,2025-12-17,20,3,SKU0017,1,14050,0.0,14050.0
381,108,2025-12-17,20,3,SKU0022,5,2800,0.0,14000.0
382,109,2024-08-18,1,4,SKU0001,2,3800,0.1,6840.0
383,110,2025-10-09,31,4,SKU0026,3,5950,0.0,17850.0
384,110,2025-10-09,31,4,SKU0039,2,14150,0.0,28300.0
385,110,2025-10-09,31,4,SKU0032,1,3350,0.0,3350.0
386,110,2025-10-09,31,4,SKU0020,1,2500,0.15,2125.0
387,110,2025-10-09,31,4,SKU0024,1,2500,0.1,2250.0
388,110,2025-10-09,31,4,SKU0042,2,10800,0.15,18360.0
389,111,2024-10-24,2,2,SKU0042,5,10000,0.0,50000.0
390,111,2024-10-24,2,2,SKU0010,1,8600,0.0,8600.0
391,111,2024-10-24,2,2,SKU0016,4,3700,0.0,14800.0
392,111,2024-10-24,2,2,SKU0028,4,2900,0.0,11600.0
393,112,2025-05-28,2,1,SKU0010,4,9300,0.0,37200.0
394,112,2025-05-28,2,1,SKU0029,1,6700,0.15,5695.0
395,113,2026-05-20,29,5,SKU0013,5,5200,0.15,22100.0
396,113,2026-05-20,29,5,SKU0019,4,3000,0.0,12000.0
